HIP,HR,Name,RAh,Dec,Vmag,B-V,SourceCatalog,SourceId,TYC
760,,,0.155508,79.714641,6.01,0.20,hip,HIP760,
3436,,,0.730580,-12.011307,6.01,1.11,hip,HIP3436,
6981,,,1.498008,18.355675,6.01,0.16,hip,HIP6981,
8475,,,1.820989,47.896952,6.01,0.17,hip,HIP8475,
8998,,,1.931594,1.849519,6.01,0.55,hip,HIP8998,
9859,,,2.113673,25.704589,6.01,-0.03,hip,HIP9859,
10203,,,2.186683,25.936955,6.01,1.36,hip,HIP10203,
16266,,,3.494219,-6.804239,6.01,1.02,hip,HIP16266,
17007,,,3.646572,-27.943117,6.01,-0.03,hip,HIP17007,
21137,,,4.531026,15.851639,6.01,0.34,hip,HIP21137,
21269,,,4.563383,9.413623,6.01,1.06,hip,HIP21269,
21459,,,4.608074,23.340986,6.01,0.38,hip,HIP21459,
28930,,,6.106233,29.512425,6.01,1.73,hip,HIP28930,
31758,,,6.643175,-16.873486,6.01,0.04,hip,HIP31758,
33800,,,7.018105,-58.940296,6.01,0.30,hip,HIP33800,
34055,,,7.064334,12.594259,6.01,1.58,hip,HIP34055,
37394,,,7.676531,-8.185358,6.01,0.15,hip,HIP37394,
39122,,,8.004088,-48.981616,6.01,0.04,hip,HIP39122,
41282,,,8.421951,-21.046106,6.01,0.40,hip,HIP41282,
41597,,,8.480835,-9.748595,6.01,0.43,hip,HIP41597,
43726,,,8.905053,-5.434533,6.01,0.66,hip,HIP43726,
46288,,,9.439530,-1.464066,6.01,1.31,hip,HIP46288,
48341,,,9.853896,-4.243281,6.01,0.17,hip,HIP48341,
50536,,,10.321355,-12.528100,6.01,0.26,hip,HIP50536,
50635,,,10.341996,54.216854,6.01,1.13,hip,HIP50635,
51213,,,10.460829,9.762411,6.01,-0.04,hip,HIP51213,
51905,,,10.604633,-16.344333,6.01,1.64,hip,HIP51905,
54136,,,11.075355,38.241361,6.01,0.17,hip,HIP54136,
59364,,,12.179473,27.281529,6.01,0.12,hip,HIP59364,
63490,,,13.009086,-33.505092,6.01,0.39,hip,HIP63490,
63584,,,13.029764,63.610163,6.01,0.43,hip,HIP63584,
64212,,,13.160756,37.423132,6.01,1.17,hip,HIP64212,
64979,,,13.317854,35.127935,6.01,0.28,hip,HIP64979,
66015,,,13.534130,-18.728836,6.01,0.20,hip,HIP66015,
68279,,,13.977763,14.649417,6.01,1.43,hip,HIP68279,
70949,,,14.512608,4.772317,6.01,1.42,hip,HIP70949,
75674,,,15.460797,25.101657,6.01,1.65,hip,HIP75674,
77358,,,15.791502,-37.915792,6.01,0.71,hip,HIP77358,
85333,,,17.438614,7.595669,6.01,0.59,hip,HIP85333,
86527,,,17.682930,-32.214448,6.01,1.67,hip,HIP86527,
87445,,,17.867981,39.981964,6.01,1.34,hip,HIP87445,
88190,,,18.010105,33.213739,6.01,1.52,hip,HIP88190,
89827,,,18.331131,29.666383,6.01,1.32,hip,HIP89827,
98575,,,20.023289,-22.737279,6.01,0.98,hip,HIP98575,
99579,,,20.208814,51.463602,6.01,1.14,hip,HIP99579,
102080,,,20.687837,14.582879,6.01,1.24,hip,HIP102080,
102805,,,20.827149,12.544891,6.01,0.42,hip,HIP102805,
103734,,,21.020241,36.026025,6.01,0.99,hip,HIP103734,
105891,,,21.445821,52.898525,6.01,-0.11,hip,HIP105891,
111314,,,22.550749,69.913372,6.01,0.33,hip,HIP111314,
112998,,,22.884380,60.101023,6.01,1.75,hip,HIP112998,
117956,,,23.925968,47.355822,6.01,1.17,hip,HIP117956,
118071,,,23.951008,42.658238,6.01,0.71,hip,HIP118071,
1196,,,0.249662,8.821023,6.02,0.31,hip,HIP1196,
9220,,,1.975894,61.697816,6.02,-0.04,hip,HIP9220,
14748,,,3.174179,26.896071,6.02,1.28,hip,HIP14748,
19261,,,4.128307,15.162843,6.02,0.40,hip,HIP19261,
23377,,,5.026257,-39.718126,6.02,0.89,hip,HIP23377,
24072,,,5.171890,37.301851,6.02,0.72,hip,HIP24072,
25482,,,5.449950,-68.622496,6.02,0.35,hip,HIP25482,
31852,,,6.659201,28.263158,6.02,-0.09,hip,HIP31852,
33614,,,6.984133,38.052615,6.02,1.22,hip,HIP33614,
34999,,,7.241182,-10.316249,6.02,-0.17,hip,HIP34999,
35213,,,7.277327,-23.311053,6.02,0.32,hip,HIP35213,
37823,,,7.755014,-43.752559,6.02,-0.07,hip,HIP37823,
38732,,,7.929610,-43.845058,6.02,-0.11,hip,HIP38732,
39261,,,8.028470,60.324408,6.02,0.16,hip,HIP39261,
41224,,,8.411880,42.005218,6.02,1.59,hip,HIP41224,
